hostid,groupid,itemid,hostgroup,hostname,itemname
10962,72,96656,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-04""] Blended cost"
10962,72,96664,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-05""] Blended cost"
10962,72,96672,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-06""] Blended cost"
10962,72,96680,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-07""] Blended cost"
10962,72,96689,AWS,aws cost http,"AWS Cost: [""AWS Key Management Service""]: Month [""2023-08""] Blended cost"
10962,72,96622,AWS,aws cost http,"AWS Cost: [""AWS Service Catalog""]: Month [""2022-12""] Blended cost"
10962,72,96631,AWS,aws cost http,"AWS Cost: [""AWS Service Catalog""]: Month [""2023-01""] Blended cost"
10962,72,96607,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2022-10""] Blended cost"
10962,72,96614,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2022-11""] Blended cost"
10962,72,96623,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2022-12""] Blended cost"
10962,72,96632,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-01""] Blended cost"
10962,72,96649,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-03""] Blended cost"
10962,72,96657,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-04""] Blended cost"
10962,72,96665,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-05""] Blended cost"
10962,72,96673,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-06""] Blended cost"
10962,72,96681,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-07""] Blended cost"
10962,72,96690,AWS,aws cost http,"AWS Cost: [""AWS Systems Manager""]: Month [""2023-08""] Blended cost"
10962,72,96609,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2022-10""] Blended cost"
10962,72,96616,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2022-11""] Blended cost"
10962,72,96625,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2022-12""] Blended cost"
10962,72,96634,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-01""] Blended cost"
10962,72,96642,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-02""] Blended cost"
10962,72,96651,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-03""] Blended cost"
10962,72,96659,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-04""] Blended cost"
10962,72,96667,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-05""] Blended cost"
10962,72,96675,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-06""] Blended cost"
10962,72,96683,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-07""] Blended cost"
10962,72,96692,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Compute Cloud - Compute""]: Month [""2023-08""] Blended cost"
10962,72,96635,AWS,aws cost http,"AWS Cost: [""Amazon Elastic Load Balancing""]: Month [""2023-01""] Blended cost"
10962,72,96617,AWS,aws cost http,"AWS Cost: [""Amazon Relational Database Service""]: Month [""2022-11""] Blended cost"
10962,72,96660,AWS,aws cost http,"AWS Cost: [""Amazon Relational Database Service""]: Month [""2023-04""] Blended cost"
10962,72,96668,AWS,aws cost http,"AWS Cost: [""Amazon Relational Database Service""]: Month [""2023-05""] Blended cost"
10962,72,96676,AWS,aws cost http,"AWS Cost: [""Amazon Relational Database Service""]: Month [""2023-06""] Blended cost"
10962,72,96684,AWS,aws cost http,"AWS Cost: [""Amazon Relational Database Service""]: Month [""2023-07""] Blended cost"
10962,72,96693,AWS,aws cost http,"AWS Cost: [""Amazon Relational Database Service""]: Month [""2023-08""] Blended cost"
10962,72,96694,AWS,aws cost http,"AWS Cost: [""Amazon Simple Notification Service""]: Month [""2023-08""] Blended cost"
10962,72,96695,AWS,aws cost http,"AWS Cost: [""Amazon Simple Queue Service""]: Month [""2023-08""] Blended cost"
10962,72,96618,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2022-11""] Blended cost"
10962,72,96636,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-01""] Blended cost"
10962,72,96643,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-02""] Blended cost"
10962,72,96652,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-03""] Blended cost"
10962,72,96661,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-04""] Blended cost"
10962,72,96669,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-05""] Blended cost"
10962,72,96677,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-06""] Blended cost"
10962,72,96685,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-07""] Blended cost"
10962,72,96696,AWS,aws cost http,"AWS Cost: [""Amazon Simple Storage Service""]: Month [""2023-08""] Blended cost"
10962,72,96686,AWS,aws cost http,"AWS Cost: [""Amazon Virtual Private Cloud""]: Month [""2023-07""] Blended cost"
10962,72,96697,AWS,aws cost http,"AWS Cost: [""Amazon Virtual Private Cloud""]: Month [""2023-08""] Blended cost"
10962,72,96610,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2022-10""] Blended cost"
10962,72,96619,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2022-11""] Blended cost"
10962,72,96626,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2022-12""] Blended cost"
10962,72,96637,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-01""] Blended cost"
10962,72,96644,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-02""] Blended cost"
10962,72,96653,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-03""] Blended cost"
10962,72,96662,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-04""] Blended cost"
10962,72,96670,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-05""] Blended cost"
10962,72,96678,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-06""] Blended cost"
10962,72,96687,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-07""] Blended cost"
10962,72,96698,AWS,aws cost http,"AWS Cost: [""AmazonCloudWatch""]: Month [""2023-08""] Blended cost"
10962,72,96608,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2022-10""] Blended cost"
10962,72,96615,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2022-11""] Blended cost"
10962,72,96624,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2022-12""] Blended cost"
10962,72,96633,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-01""] Blended cost"
10962,72,96641,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-02""] Blended cost"
10962,72,96650,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-03""] Blended cost"
10962,72,96658,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-04""] Blended cost"
10962,72,96666,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-05""] Blended cost"
10962,72,96674,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-06""] Blended cost"
10962,72,96682,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-07""] Blended cost"
10962,72,96691,AWS,aws cost http,"AWS Cost: [""EC2 - Other""]: Month [""2023-08""] Blended cost"
10962,72,96627,AWS,aws cost http,"AWS Cost: [""Netgate pfSense Plus Firewall/VPN/Router""]: Month [""2022-12""] Blended cost"
10962,72,96638,AWS,aws cost http,"AWS Cost: [""Netgate pfSense Plus Firewall/VPN/Router""]: Month [""2023-01""] Blended cost"
10962,72,96645,AWS,aws cost http,"AWS Cost: [""Netgate pfSense Plus Firewall/VPN/Router""]: Month [""2023-02""] Blended cost"
10962,72,96628,AWS,aws cost http,"AWS Cost: [""Oracle Linux 7 with Support by Supported Images""]: Month [""2022-12""] Blended cost"
10962,72,96611,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2022-10""] Blended cost"
10962,72,96620,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2022-11""] Blended cost"
10962,72,96629,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2022-12""] Blended cost"
10962,72,96639,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-01""] Blended cost"
10962,72,96646,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-02""] Blended cost"
10962,72,96654,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-03""] Blended cost"
10962,72,96663,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-04""] Blended cost"
10962,72,96671,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-05""] Blended cost"
10962,72,96679,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-06""] Blended cost"
10962,72,96688,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-07""] Blended cost"
10962,72,96699,AWS,aws cost http,"AWS Cost: [""Tax""]: Month [""2023-08""] Blended cost"
10962,72,96597,AWS,aws cost http,"AWS Cost: [""{#AWS.BILLING.MONTH}""]: Blended cost per month"
10962,72,96598,AWS,aws cost http,"AWS Cost: [""{#AWS.BILLING.SERVICE.NAME}""]: Month [""{#AWS.BILLING.MONTH}""] Blended cost"
10962,72,96593,AWS,aws cost http,AWS daily costs by services discovery
10962,72,96594,AWS,aws cost http,AWS monthly costs by services discovery
10962,72,96595,AWS,aws cost http,AWS monthly costs discovery
10847,72,96399,AWS,aws http,AMIs
10847,72,96398,AWS,aws http,Alarms - ALARM
10847,72,96400,AWS,aws http,Buckets S3
10847,72,96401,AWS,aws http,Buckets S3 Sem Criptografia
10847,72,96402,AWS,aws http,Buckets S3 Sem Tag
10847,72,96403,AWS,aws http,Cluster ECS
10847,72,96404,AWS,aws http,Cluster RDS
10847,72,96405,AWS,aws http,Cluster Redis
10847,72,96406,AWS,aws http,Deploy Failed
10847,72,96407,AWS,aws http,Deploy Succeeded
10847,72,96408,AWS,aws http,EBS Sem TAG
10847,72,92208,AWS,aws http,EC2 instances discovery
10847,72,96410,AWS,aws http,ELB Application
10847,72,96411,AWS,aws http,ELB Application Sem TAG
10847,72,96412,AWS,aws http,ELB Classic
10847,72,96413,AWS,aws http,ELB Classic Sem TAG
10847,72,96409,AWS,aws http,ElasticIp Sem TAG
10847,72,96414,AWS,aws http,Fila SQS
10847,72,96415,AWS,aws http,Fun�oes
10847,72,96416,AWS,aws http,Instances RDS
10847,72,96417,AWS,aws http,Instancias Sem TAG
10847,72,96418,AWS,aws http,Lambas Sem TAG
10847,72,96419,AWS,aws http,Network Interfaces Available
10847,72,96420,AWS,aws http,Network Interfaces In-Use
10847,72,96421,AWS,aws http,N� Redis
10847,72,96422,AWS,aws http,N� Redis Sem TAG
10847,72,96423,AWS,aws http,Qtd. Lambdas sem invocation nos ultimos 180 dias
10847,72,96424,AWS,aws http,Qtd. Lambdas sem invocation nos ultimos 30 dias
10847,72,96425,AWS,aws http,Qtd. Lambdas sem invocation nos ultimos 90 dias
10847,72,96426,AWS,aws http,Quantidade Buckets S3 Publicos
10847,72,96427,AWS,aws http,Quantidade Elastic IP
10847,72,96428,AWS,aws http,Quantidade Elastic IP Sem Uso
10847,72,96429,AWS,aws http,Quantidade Users
10847,72,92209,AWS,aws http,RDS instances discovery
10847,72,96430,AWS,aws http,Running Instances Ondemand
10847,72,96431,AWS,aws http,Running Instances Spot
10847,72,96432,AWS,aws http,Running Total Instances
10847,72,92210,AWS,aws http,S3 buckets discovery
10847,72,96434,AWS,aws http,SNS Sem TAG
10847,72,96435,AWS,aws http,SQS Sem TAG
10847,72,96433,AWS,aws http,Snapshots
10847,72,96436,AWS,aws http,Stopped instances
10847,72,96437,AWS,aws http,Task Definition Name
10847,72,96438,AWS,aws http,Topics SNS
10847,72,96439,AWS,aws http,Volumes
10847,72,96440,AWS,aws http,Volumes Available
10847,72,96441,AWS,aws http,Volumes nao Encriptados
10728,62,88018,Active Proxy,Zabbixproxy,Zabbix proxy status
10728,62,88000,Active Proxy,Zabbixproxy,"Zabbix proxy: Configuration cache, % used"
10728,62,87984,Active Proxy,Zabbixproxy,"Zabbix proxy: History index cache, % used"
10728,62,87985,Active Proxy,Zabbixproxy,"Zabbix proxy: History write cache, % used"
10728,62,87978,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed character values per second
10728,62,87979,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed log values per second
10728,62,87982,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed not supported values per second
10728,62,87977,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed numeric (float) values per second
10728,62,87980,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed numeric (unsigned) values per second
10728,62,87981,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed text values per second
10728,62,87983,Active Proxy,Zabbixproxy,Zabbix proxy: Number of processed values per second
10728,62,88008,Active Proxy,Zabbixproxy,Zabbix proxy: Preprocessing queue
10728,62,88001,Active Proxy,Zabbixproxy,Zabbix proxy: Queue
10728,62,88002,Active Proxy,Zabbixproxy,Zabbix proxy: Queue over 10 minutes
10728,62,88014,Active Proxy,Zabbixproxy,Zabbix proxy: Required performance
10728,62,88015,Active Proxy,Zabbixproxy,Zabbix proxy: Uptime
10728,62,88017,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of ODBC poller data collector processes, in %"
10728,62,88012,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of availability manager internal processes, in %"
10728,62,87990,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of configuration syncer internal processes, in %"
10728,62,88003,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of data sender internal processes, in %"
10728,62,87995,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of discoverer data collector processes, in %"
10728,62,87994,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of heartbeat sender internal processes, in %"
10728,62,88013,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of history poller data collector processes, in %"
10728,62,87993,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of history syncer internal processes, in %"
10728,62,87996,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of housekeeper internal processes, in %"
10728,62,87997,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of http poller data collector processes, in %"
10728,62,87999,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of icmp pinger data collector processes, in %"
10728,62,88004,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of ipmi manager internal processes, in %"
10728,62,87998,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of ipmi poller data collector processes, in %"
10728,62,87992,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of java poller data collector processes, in %"
10728,62,87991,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of poller data collector processes, in %"
10728,62,88009,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of preprocessing manager internal processes, in %"
10728,62,88010,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of preprocessing worker internal processes, in %"
10728,62,87986,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of self-monitoring internal processes, in %"
10728,62,87987,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of snmp trapper data collector processes, in %"
10728,62,88005,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of task manager internal processes, in %"
10728,62,87988,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of trapper data collector processes, in %"
10728,62,87989,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of unreachable poller data collector processes, in %"
10728,62,88006,Active Proxy,Zabbixproxy,"Zabbix proxy: Utilization of vmware data collector processes, in %"
10728,62,88007,Active Proxy,Zabbixproxy,"Zabbix proxy: VMware cache, % used"
10728,62,88016,Active Proxy,Zabbixproxy,Zabbix proxy: Values waiting to be sent
10728,62,88011,Active Proxy,Zabbixproxy,Zabbix proxy: Version
10552,25,46156,Agentless Monitoring,SSH Agentless Monitoring,/ FS: Free space
10552,25,46155,Agentless Monitoring,SSH Agentless Monitoring,/ FS: Total space
10552,25,46154,Agentless Monitoring,SSH Agentless Monitoring,/ FS: Used space
10552,25,46153,Agentless Monitoring,SSH Agentless Monitoring,/boot FS: Free space
10552,25,46152,Agentless Monitoring,SSH Agentless Monitoring,/boot FS: Total space
10552,25,46151,Agentless Monitoring,SSH Agentless Monitoring,/boot FS: Used space
10552,25,46133,Agentless Monitoring,SSH Agentless Monitoring,Disk space Free
10552,25,46149,Agentless Monitoring,SSH Agentless Monitoring,Disk space Total
10552,25,46148,Agentless Monitoring,SSH Agentless Monitoring,Disk space Used
10552,25,46150,Agentless Monitoring,SSH Agentless Monitoring,Disk specification
10552,25,46147,Agentless Monitoring,SSH Agentless Monitoring,Forecast(1h): Memory free
10552,25,46146,Agentless Monitoring,SSH Agentless Monitoring,Forecast(30m): Memory available
10552,25,46144,Agentless Monitoring,SSH Agentless Monitoring,Free Memory
10552,25,46136,Agentless Monitoring,SSH Agentless Monitoring,HTTPD service status
10552,25,46145,Agentless Monitoring,SSH Agentless Monitoring,Hostname
10552,25,46134,Agentless Monitoring,SSH Agentless Monitoring,Hostname short
10552,25,46157,Agentless Monitoring,SSH Agentless Monitoring,Memory available
10552,25,46140,Agentless Monitoring,SSH Agentless Monitoring,OS version
10552,25,46135,Agentless Monitoring,SSH Agentless Monitoring,PCI specification
10552,25,46139,Agentless Monitoring,SSH Agentless Monitoring,Status
10552,25,46158,Agentless Monitoring,SSH Agentless Monitoring,System specification
10552,25,46143,Agentless Monitoring,SSH Agentless Monitoring,Total Memory
10552,25,46137,Agentless Monitoring,SSH Agentless Monitoring,Uptime
10552,25,46142,Agentless Monitoring,SSH Agentless Monitoring,Used Memory
10552,25,46138,Agentless Monitoring,SSH Agentless Monitoring,system time
10552,25,46141,Agentless Monitoring,SSH Agentless Monitoring,users in /etc/passwd
10558,25,46328,Agentless Monitoring,Services SSH Check Template Linux,Service config state : {#SERVICE}
10558,25,46327,Agentless Monitoring,Services SSH Check Template Linux,Service status : {#SERVICE}
10558,25,46326,Agentless Monitoring,Services SSH Check Template Linux,Services discovery
10905,58,93939,All,host_1,Available memory
10905,58,93940,All,host_1,Available memory in %
10905,58,93981,All,host_1,Block devices discovery
10905,58,93943,All,host_1,CPU guest nice time
10905,58,93944,All,host_1,CPU guest time
10905,58,93945,All,host_1,CPU idle time
10905,58,93946,All,host_1,CPU interrupt time
10905,58,93947,All,host_1,CPU iowait time
10905,58,93948,All,host_1,CPU nice time
10905,58,93949,All,host_1,CPU softirq time
10905,58,93950,All,host_1,CPU steal time
10905,58,93951,All,host_1,CPU system time
10905,58,93952,All,host_1,CPU user time
10905,58,93979,All,host_1,CPU utilization
10905,58,93941,All,host_1,Checksum of /etc/passwd
10905,58,93942,All,host_1,Context switches per second
10905,58,93953,All,host_1,Free swap space
10905,58,93954,All,host_1,Free swap space in %
10905,58,93955,All,host_1,Host name of Zabbix agent running
10905,58,93984,All,host_1,Interface {#IFNAME}: Bits received
10905,58,93985,All,host_1,Interface {#IFNAME}: Bits sent
10905,58,93986,All,host_1,Interface {#IFNAME}: Inbound packets discarded
10905,58,93987,All,host_1,Interface {#IFNAME}: Inbound packets with errors
10905,58,93988,All,host_1,Interface {#IFNAME}: Interface type
10905,58,93989,All,host_1,Interface {#IFNAME}: Operational status
10905,58,93990,All,host_1,Interface {#IFNAME}: Outbound packets discarded
10905,58,93991,All,host_1,Interface {#IFNAME}: Outbound packets with errors
10905,58,93992,All,host_1,Interface {#IFNAME}: Speed
10905,58,93956,All,host_1,Interrupts per second
10905,58,93957,All,host_1,Load average (15m avg)
10905,58,93958,All,host_1,Load average (1m avg)
10905,58,93959,All,host_1,Load average (5m avg)
